,Title_new,Exp_min,Exp_max,NCR,Hyd,Pune,Mumbai,Bangalore,Chennai,Ahmedabad,Kolkata,Kochi,Jaipur,Trivandrum,Indore,Coimbatore,OthersLoc,Skills_list,Dates_new,Exp_avg,Predicted_Salary,Title,Labels6,Labels3
13,Analyst,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Senior Analyst', ' Telecom', ' Automation', ' RF', ' Automotive', ' Instrumentation']",1,6.5,0,0,1,1
14,Lead,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Oracle', ' PLSQL', ' SSIS', ' Test cases', ' Monitoring', ' DBMS', ' Test strategy', ' Knowledge']",1,6.5,3,6,2,2
15,Lead,7,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Technical skills', ' Stores', ' Troubleshooting', ' Data migration', ' big data', ' Python']",1,8.5,0,6,3,1
16,Lead,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Application development', ' Performance tuning', ' Test cases', ' Monitoring']",1,6.5,3,6,2,2
17,Lead,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['PLSQL', ' Performance tuning', ' Database design', ' Test cases', ' Toad', ' Tools']",1,8.5,0,6,3,1
18,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Business Intelligence', ' Data warehousing', ' Cognos', ' Cognos Report Development', '']",1,8.5,3,6,2,2
19,Lead,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Technical skills', ' Stores', ' Troubleshooting', ' Data migration', ' big data', ' Python']",1,6.5,3,6,2,2
20,Lead,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Technical skills', ' Stores', ' Troubleshooting', ' Data migration', ' big data', ' Python']",1,6.5,0,6,3,1
21,Lead,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Technical skills', ' Stores', ' Troubleshooting', ' Data migration', ' big data', ' Python']",1,6.5,0,6,3,1
22,Lead,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['Application development', ' Performance tuning', ' Test cases', ' Monitoring']",1,8.5,0,6,3,1
23,Lead,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['PLSQL', ' Performance tuning', ' Database design', ' Test cases', ' Toad', ' Tools']",1,6.5,0,6,3,1
24,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Switching', ' Routing', ' Cisco ASA', ' Checkpoint Firewall', ' DNS', ' Data Center']",1,8.5,3,6,2,2
25,Generic,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['big data', ' kerberos', ' linux administration', ' unix', ' storage', ' high availability', '']",1,6.5,2,5,2,2
26,Developer,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Spring', ' Core Java', ' Multithreading', ' Data Structures', ' Threading', ' Java']",1,5.5,0,3,1,1
27,Developer,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Spring', ' Core Java', ' Multithreading', ' Data Structures', ' Java', ' Data Structure']",1,6.0,0,3,1,1
28,Developer,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['sql', ' ant', ' design patterns', ' unix scripting', ' bash', ' linux', ' perl', ' core java']",1,9.5,1,3,1,1
29,Consultant,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['SQL', ' Hadoop', ' Java', ' C++', ' Python', ' Big Data', ' Statistical Analysis', ' Languages']",1,2.5,0,2,1,0
30,Lead,11,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,"['Deep Learning', ' Natural Language Processing', ' Algorithms', ' NLP', ' Data Science']",1,13.0,3,6,2,1
31,Engineer,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['java', ' spark', ' big data', ' aws', ' Kafka Engineer', ' Big Data Technologies']",1,6.5,3,4,2,2
32,Developer,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,"['Data Analyst', ' SQL', ' PostgreSQL', ' ETL', ' Predictive Modelling', ' Hadoop', ' R']",1,6.5,0,3,1,0
33,Lead,6,11,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,"['Deep Learning', ' Natural Language Processing', ' Algorithms', ' NLP', ' Data Science']",1,8.5,3,6,2,2
34,Architect,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Hadoop', ' Hive', ' Mapreduce', ' Java', ' Cloudera', ' HBase', ' Pig', ' J2Ee', ' Solr', ' Big Data']",1,12.5,1,1,1,1
35,Scientist,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Machine - learning', ' Analysis', ' R Programming', ' Tableau']",1,6.5,1,8,3,1
36,Generic,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['hadoop', ' hive', ' spark', ' deep learning', ' hbase', ' pig', ' java', ' nlp', ' cassandra']",1,6.0,1,5,3,1
37,Lead,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Spark', ' NoSQL', ' SCALA', ' Java', ' Hadoop', ' Data Science', ' SQL', ' Python', ' AWS']",1,7.5,3,6,2,2
38,Lead,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['SQL', ' Db2', ' SAS', ' Data modeling', ' RDBMS', ' Performance tuning', ' Stored procedures', '']",1,6.5,0,6,3,1
39,Lead,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['Technical skills', ' Stores', ' Troubleshooting', ' Data migration', ' big data', ' Python']",1,6.5,1,6,3,1
40,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Test Data', ' Data Warehousing', ' Business Intelligence', ' Life Cycle']",1,8.5,3,6,2,2
41,Lead,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Technical', ' microsoft', ' Data modeling', ' Test cases', ' Monitoring']",1,6.5,0,6,3,1
42,Manager,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Hive', ' Hadoop', ' Impala', ' SAS SQL', ' Spark', ' Data Quality', ' Lgd', ' Data Modeling']",1,5.0,1,7,3,0
43,Developer,5,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Hive', ' Advanced Java', ' Mapreduce', ' NoSQL', ' Hadoop', ' Big Data', ' MySQL', ' SQL', ' Python']",1,7.5,0,3,1,1
44,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Data Wrangler- Project Lead', ' Oracle', ' SQL Server', ' MySQL', ' Cassandra', ' Hive']",1,8.5,3,6,2,2
45,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Client management', ' Oracle', ' microsoft', ' Offshore', ' Coding', ' big data', ' Scrum']",1,8.5,3,6,2,2
46,Lead,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Data modeling', ' Performance tuning', ' IMS', ' Database design', ' Test cases']",1,6.5,0,6,3,1
47,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SOAP', ' Web Services', ' WSDL', ' XML', ' XSLT', ' Rest', ' SOA', ' Websphere Portal', ' Datapower']",1,8.5,3,6,2,2
48,Manager,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Master Data Management', ' mdm', ' sap mdm', ' master data mgmt', ' talend']",2,5.5,0,7,3,0
49,Manager,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['network / system administration', ' business analysis']",2,6.0,0,7,3,1
50,Generic,12,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['c', ' r', ' python', ' machine learning', ' sas', ' sql', ' java', ' c++', ' matlab']",1,13.5,2,5,2,1
51,Analyst,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Data Analysis', ' statistical analysis', ' regression analysis', ' Python', ' big data', '']",2,4.5,1,0,1,0
52,Engineer,14,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['etl', ' sql', ' dw', ' system administration', ' big data', ' design development', ' java ee', '']",1,18.5,0,4,1,1
53,Lead,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SQL', ' Linux', ' Shell scripting', ' Python', ' SAS', ' MATLAB', ' Analytics']",1,6.5,3,6,2,2
54,Architect,10,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['Java', ' Spark', ' Big Data', ' Machine Learning', ' Application Development']",1,14.0,0,1,1,1
55,Lead,7,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['spring', ' struts', ' hibernate', ' java', ' j2ee', ' javascript', ' jboss', ' tomcat', ' rest']",1,8.5,3,6,2,2
56,Generic,12,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Data Analytics', ' Business Intelligence', ' DW', ' Predictive Modeling']",1,15.0,2,5,2,1
57,Engineer,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['c++', ' oop', ' software engineering', ' multithreading', ' software development']",1,4.5,0,4,1,0
58,Lead,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['IBM DQ', ' IBM - DQ', ' Informatica DQ', ' Informatica', ' Informatica Data quality']",1,8.0,1,6,3,1
59,Scientist,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['deep learning', ' nlp', ' machine learning', ' python', ' r', ' big data']",1,6.5,0,8,3,0
60,Developer,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['asp.net developer', ' wpf', ' wcf', ' linq', ' xml', ' XAML']",1,6.0,0,3,1,1
61,Manager,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['sql', ' oracle', ' ccar', ' data quality', ' data research', ' root cause']",1,7.5,0,7,3,1
62,Engineer,15,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,"['Spark', ' Hadoop', ' Java', ' SCALA', ' NoSQL', ' Big Data', ' Elastic Search', ' Solr']",1,17.5,0,4,1,1
63,Lead,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['C++', ' Data Structures', ' .Net', ' Algorithms', ' Software Engineering', ' C#', ' Python']",1,7.5,1,6,3,1
64,Manager,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Strategic planning', ' Project management', ' Data analysis', ' Change management']",1,6.5,1,7,3,1
65,Generic,11,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,"['Data Security', ' Cyber Security', ' Presales', ' RFI', ' RFP']",1,15.0,0,5,3,1
66,Scientist,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['machine learning', ' text mining', ' sas', ' python', ' data science', ' Data Scientist']",1,5.5,1,8,3,0
67,Lead,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['java', ' sql', ' business analysis', ' c++', ' business intelligence']",2,11.5,1,6,3,1
68,Architect,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Data Migration', ' DATA MIGRATION ARCHITECT', ' Data Migration Strategy']",1,6.0,0,1,1,1
69,Developer,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['software developer', ' Big Data Developer', ' Big Data Architect']",1,6.5,0,3,1,0
70,Manager,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Advanced Analytics', ' Data Mining', ' SAS', ' Python', ' R', ' SQL', ' Fraud Detection']",1,6.5,0,7,3,1
71,Developer,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['software developer', ' Big Data Developer', ' Big Data Architect']",1,6.5,0,3,1,0
72,Developer,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['software developer', ' Big Data Developer', ' Big Data Architect']",1,6.5,0,3,1,0
73,Lead,2,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Hadoop', ' Spark', ' Big Data', ' Python', ' Agile']",1,4.5,0,6,3,0
74,Developer,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['data warehousing', ' etl', ' data integration', ' talend', ' bi']",1,2.0,0,3,1,0
75,Lead,7,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Statistical Modeling', ' Data Analytics', ' Cluster Analysis']",2,8.0,3,6,2,2
76,Manager,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,"['Bi', ' Sales Consulting', ' Business Intelligence', ' Presales', ' Solutioning']",2,17.5,4,7,2,1
77,Scientist,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Python', ' Machine Learning', ' R', ' Natural Language Processing']",2,7.5,2,8,3,2
78,Scientist,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['Data Scientist', ' Data Science', ' Python', ' Perl', ' R', ' NoSQL', ' Hadoop', ' SQL', ' Weka']",2,4.5,0,8,3,0
79,Generic,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['Data Analysis', ' Data Mining', ' Data Analytics', ' R', ' Data Management', ' Spark']",2,6.5,0,5,3,1
81,Developer,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['Hadoop', ' Hive', ' Pig', ' Java', ' Cloudera', ' NoSQL', ' Sqoop', ' Spark', ' Cassandra', ' Redis']",1,7.5,0,3,1,1
82,Developer,4,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Hadoop', ' Hive', ' Oozie', ' Mapreduce', ' HBase', ' Pig', ' Spark', ' SCALA', ' Core Java']",1,5.5,0,3,1,1
83,Architect,10,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['Hadoop', ' Hive', ' Cloudera', ' Big Data', ' Marketing Analytics', ' Pig']",1,13.0,3,1,2,1
84,Generic,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['SQL', ' Oracle Data Integrator', ' ODI', ' Data Warehousing', ' PLSQL', ' PL', ' Interfaces']",2,5.5,0,5,3,1
85,Generic,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Hadoop Data Modeler', ' Hadoop', ' Data Modeler', ' Java / Python', ' Hadoop Stack']",1,6.5,0,5,3,0
86,Developer,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['software developer', ' Big Data Developer', ' Big Data Architect']",1,6.5,0,3,1,0
87,Developer,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Java', ' Gradle', ' Spark', ' IntelliJ', ' SCALA', ' Maven', ' Eclipse', ' GIT', ' Algorithms']",1,5.5,2,3,1,2
88,Manager,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['NLP', ' Advanced Analytics', ' Machine Learning', ' R', ' Python', ' Data Analysis', ' SAS']",1,9.5,0,7,3,1
89,Lead,11,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Spark', ' NoSQL', ' SCALA', ' Java', ' Hadoop', ' Data Science', ' SQL', ' Python', ' AWS']",2,12.0,1,6,3,1
90,Consultant,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Hive', ' Hadoop', ' Flume', ' Oozie', ' Sqoop', ' Mapreduce', ' Pig', ' HBase', ' Spark', ' Big Data']",2,7.5,0,2,1,1
91,Manager,10,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['data governance', ' business analysis', ' data analytics', ' data management']",2,12.5,3,7,2,1
92,Generic,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['SQL', ' Oracle Data Integrator', ' ODI', ' Data Warehousing', ' PLSQL', ' PL', ' Interfaces']",2,5.5,0,5,3,1
93,Scientist,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['machine learning', ' logistic regression', ' neural network', ' Python']",2,4.5,1,8,3,2
94,Scientist,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['python', ' r programming', ' machine learning', ' Natural Language Processing', ' NLP']",2,6.5,0,8,3,0
95,Generic,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['data analysis', ' advanced excel', ' sql', ' sas', ' data mining', ' statistical modeling', '']",2,6.5,1,5,3,0
96,Manager,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,"['servlets', ' java', ' jdbc', ' j2ee', ' eclipse ide', ' web services', ' sql']",2,12.5,4,7,2,2
97,Scientist,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['Text Mining', ' Deep Learning', ' Natural Language Processing', ' R', ' Data Science']",8,3.5,0,8,3,0
98,Generic,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['data modeling', ' erwin']",1,6.0,0,5,3,1
99,Developer,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0,"['SQL', ' C#', ' Java', ' Cloud Engineer', ' DBA', ' MySQL', ' .Net', ' linux', ' MongoDB', ' NoSQL', ' Big']",0,2.5,1,3,1,0
100,Lead,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['MS SQL', ' ETL', ' Data Warehousing', ' Data Modeling', ' Bi', ' Solution Design', ' Database']",5,6.0,1,6,3,1
101,Developer,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,"['Big Data developer', ' Hadoop', ' Hadoop developer', ' Data scientist', ' Maprudence']",0,2.5,1,3,1,0
102,Developer,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0,"['Big Data developer', ' Hadoop', ' Hadoop developer', ' Data scientist', ' Maprudence']",0,2.5,1,3,1,0
103,Engineer,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['hadoop', ' spark', ' java', ' scala', ' big data', ' python', ' algorithms']",1,6.5,2,4,2,2
104,Analyst,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['plsql developer', ' unix shell scripting', ' hive', ' pig', ' reporting', ' etl']",2,6.0,0,0,1,1
105,Architect,12,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['ETL', ' Data Warehousing', ' Data Integration', ' Informatica', ' Oracle Designer']",2,14.0,1,1,1,1
106,Lead,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['data analytics', ' big data', ' SQS', ' CloudWatch', ' Star Schema', ' AWS Data', ' Redshift', '']",2,7.0,0,6,3,1
107,Architect,12,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['ETL', ' Data Warehousing', ' Data Integration', ' Informatica', ' Oracle Designer']",2,14.0,1,1,1,1
108,Scientist,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['algorithms', ' data Scientist']",2,6.0,0,8,3,1
109,Generic,5,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,['erwin'],3,6.5,0,5,3,1
110,Scientist,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,"['Java', ' Data Science', ' Python', ' Machine Learning', ' R', ' Design Patterns']",2,4.0,0,8,3,1
111,Analyst,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SQL', ' Data Quality', ' Data Profiling', ' Oracle', ' Trillium', ' Consulting']",5,4.0,0,0,1,1
112,Analyst,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Excel Powerpoint', ' R', ' Data Analysis', ' Predictive Modeling']",5,4.0,0,0,1,1
113,Analyst,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['Data Analysis', ' Statistical Programming', ' SPSS', ' Tableau', ' Problem Solving']",5,5.5,0,0,1,0
114,Lead,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['Systems Analyst', ' Data Analysis', ' SQL', ' Unix', ' SQL codes', ' Scripting']",7,7.5,0,6,3,1
115,Scientist,10,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Information Retrieval', ' Neural Networks', ' NLP', ' Data Mining', ' Machine Learning', '']",1,12.5,1,8,3,1
116,Generic,5,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Oracle Apps Dba', ' AWR', ' Dataguard', ' RAC', ' Addm', ' RMAN', ' Ash', ' SQL']",8,7.0,4,5,2,2
117,Engineer,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Java', ' NoSQL', ' MySQL', ' Python', ' MongoDB', ' Cassandra', ' Spark']",8,5.5,3,4,2,2
118,Generic,4,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,"['Hadoop', ' Hive', ' Flume', ' Spark', ' Java', ' SCALA', ' Big Data', ' HBase', ' Data Warehousing', '']",8,6.5,0,5,3,0
119,Generic,9,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['Big Data Consultant', ' hadoop', ' spark', ' scala', ' kafka', ' data streaming']",6,11.5,0,5,3,1
120,Generic,12,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['RFP', ' SAP implementation', ' automation framework', ' Outsourcing']",8,13.5,0,5,3,1
121,Generic,12,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['RFP', ' SAP implementation', ' automation framework', ' Outsourcing']",8,13.5,2,5,2,1
122,Generic,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['RFP', ' SAP implementation', ' automation framework', ' Outsourcing']",8,13.5,2,5,2,1
123,Generic,12,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,"['RFP', ' SAP implementation', ' automation framework', ' Outsourcing']",8,13.5,0,5,3,1
124,Scientist,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['natural language processing', ' java', ' machine learning', ' python', ' web crawling']",2,4.5,0,8,3,1
125,Manager,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Deep Learning', ' Spark', ' NLP', ' Hive', ' SCALA', ' Big Data', ' Java', ' Neural Networks']",8,2.5,0,7,3,0
126,Scientist,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['Text Mining', ' Natural Language Processing', ' R', ' Data Science', ' Machine Learning']",8,2.5,0,8,3,0
127,Manager,6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['itil framework', ' operations', ' service improvement', ' change management']",8,6.5,0,7,3,1
128,Engineer,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SSIS', ' SSRS', ' SQL Server', ' Power Bi', ' Data Warehousing', ' Hana', ' SAP BO', ' SAP BW']",1,11.5,1,4,1,1
129,Engineer,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['business intelligence', ' machine learning', ' python', ' spark', ' data warehousing']",5,7.5,0,4,1,1
130,Engineer,7,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['ETL', ' DWBI', ' Data Integration', ' Data Analysis', ' Big Data', ' Architectural Design', '']",7,9.5,1,4,1,1
131,Engineer,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Spark', ' Hdfs', ' Hadoop', ' HBase', ' Java', ' Cassandra', ' Big Data', ' SQL', ' Python']",7,7.5,4,4,2,2
132,Engineer,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Nosql', ' postgressql', ' SQL Server', ' Oracle', ' Redshift', ' Hadoop', ' Spark', ' ETL']",6,5.0,3,4,2,2
133,Consultant,5,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Informatica', ' Data Warehousing', ' Oracle', ' Unix', ' Bi', ' Business Intelligence']",7,7.5,0,2,1,1
134,Scientist,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,"['machine learning', ' data science', ' data mining', ' big data', ' nlp']",2,4.5,0,8,3,1
136,Manager,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,"['Service', ' Healthcare', ' Financial services', ' Consulting', ' Automotive']",2,5.5,0,7,3,0
137,Scientist,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['python', ' r programming', ' machine learning', ' Natural Language Processing', ' NLP']",2,6.5,0,8,3,0
138,Manager,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['Data Science', ' Data Quality', ' Data Warehousing', ' Data Analytics']",2,4.5,0,7,3,1
139,Analyst,6,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,"['SQL', ' XSD', ' Data Modeling', ' Oracle', ' ERwin', ' UML', ' Design Patterns']",6,8.0,0,0,1,1
140,Lead,10,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,"['data analyst', ' data scientist', ' data analysis', ' market analysis']",7,12.5,1,6,3,1
141,Analyst,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['ms sql', ' postgresql', ' mysql', ' pentaho', ' etl', ' business intelligence', ' talend', ' dw', '']",6,2.5,0,0,1,1
142,Generic,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"['WAN', ' LAN', ' Networking']",7,6.0,1,5,3,1
143,Manager,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,"['Operations', ' Client Relationship', ' Team Handling', ' Project Management']",2,9.0,0,7,3,1
